@RELATION fixation_to_clicks_a

@ATTRIBUTE FPOGX REAL
@ATTRIBUTE FPOGY REAL 
@ATTRIBUTE FPOGS REAL
@ATTRIBUTE FPOGD REAL 
@ATTRIBUTE CS {0,1}

@DATA
0.34263,0.12317,2.89362,0.13446,0
0.34517,0.12868,3.03513,0.01978,0
0.34825,0.1374,3.03513,0.02643,0
0.3503,0.14321,3.03513,0.03308,0
0.35032,0.14345,3.03513,0.04013,0
0.35036,0.14066,3.03513,0.0466,0
0.35041,0.1363,3.03513,0.05313,0
0.34871,0.13447,3.03513,0.05942,0
0.3501,0.13239,3.03513,0.06604,0
0.35126,0.13065,3.03513,0.07281,0
0.35086,0.12917,3.03513,0.07947,0
0.35024,0.12894,3.03513,0.08621,0
0.34971,0.13003,3.03513,0.09344,0
0.34917,0.1339,3.03513,0.10022,0
0.3504,0.14281,3.03513,0.10645,0
0.35149,0.15074,3.03513,0.11304,0
0.35048,0.16716,3.03513,0.11981,0
0.35024,0.2125,3.03513,0.11981,0
0.34842,0.35587,3.03513,0.11981,0
0.33864,0.42897,3.03513,0.11981,0
0.33579,0.55825,3.03513,0.11981,0
0.33874,0.5793,3.03513,0.11981,0
0.34216,0.57732,3.03513,0.11981,0
0.33484,0.57511,3.18121,0.02045,0
0.33026,0.57143,3.18121,0.02777,0
0.32716,0.56674,3.18121,0.03439,0
0.32544,0.56191,3.18121,0.04129,0
0.32415,0.55829,3.18121,0.04785,0
0.32338,0.56037,3.18121,0.0545,0
0.32416,0.5613,3.18121,0.06116,0
0.32471,0.56086,3.18121,0.0679,0
0.32601,0.55817,3.18121,0.07474,0
0.32703,0.55501,3.18121,0.08157,0
0.32791,0.55229,3.18121,0.08786,0
0.3269,0.5536,3.18121,0.09448,0
0.32655,0.55599,3.18121,0.10117,0
0.3263,0.55883,3.18121,0.10767,0
0.32576,0.56033,3.18121,0.1142,0
0.32548,0.56134,3.18121,0.12109,0
0.32527,0.56281,3.18121,0.12802,0
0.32576,0.5642,3.18121,0.13428,0
0.32512,0.56597,3.18121,0.14069,0
0.32454,0.56759,3.18121,0.14767,0
0.3247,0.56718,3.18121,0.15451,0
0.32488,0.56619,3.18121,0.16162,0
0.32502,0.56481,3.18121,0.1683,0
0.32446,0.56501,3.18121,0.17502,0
0.32413,0.56494,3.18121,0.18173,0
0.32382,0.56488,3.18121,0.18845,0
0.32406,0.56414,3.18121,0.19513,0
0.32424,0.56506,3.18121,0.20178,0
0.32443,0.56627,3.18121,0.20831,0
0.3254,0.56772,3.18121,0.21527,0
0.32635,0.56953,3.18121,0.22192,0
0.32724,0.57123,3.18121,0.22849,0
0.32767,0.57131,3.18121,0.2352,0
0.32819,0.5711,3.18121,0.24158,0
0.32868,0.57059,3.18121,0.24789,0
0.32983,0.5706,3.18121,0.25519,0
0.33109,0.56917,3.18121,0.26126,0
0.33229,0.56782,3.18121,0.26831,0
0.33302,0.5669,3.18121,0.27545,0
0.33379,0.56606,3.18121,0.28207,0
0.36143,0.56258,3.18121,0.28207,0
0.36116,0.55478,3.18121,0.28207,0
0.36501,0.55624,3.18121,0.28207,0
0.36699,0.55988,3.47025,0.01971,0
0.36641,0.56266,3.47025,0.0264,0
0.36623,0.56833,3.47025,0.03314,0
0.3661,0.57238,3.47025,0.03979,0
0.36799,0.57377,3.47025,0.04657,0
0.36731,0.57414,3.47025,0.05301,0
0.36678,0.57443,3.47025,0.05972,0
0.36657,0.57729,3.47025,0.06665,0
0.36698,0.58074,3.47025,0.07269,0
0.36733,0.58367,3.47025,0.08014,0
0.36659,0.58514,3.47025,0.08688,0
0.3667,0.58576,3.47025,0.09302,0
0.36679,0.58631,3.47025,0.10013,0
0.36706,0.58756,3.47025,0.10648,0
0.36747,0.58874,3.47025,0.11365,0
0.36784,0.5898,3.47025,0.12006,0
0.36759,0.59111,3.47025,0.1268,0
0.36757,0.59214,3.47025,0.1337,0
0.36756,0.59307,3.47025,0.14044,0
0.367,0.59387,3.47025,0.14697,0
0.36595,0.59568,3.47025,0.1539,0
0.36498,0.59736,3.47025,0.16064,0
0.36473,0.59633,3.47025,0.16736,0
